company_name,total_since_2011,total_since_2017,total_since_2022,total_since_2025,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,link
Csx Transportation,2742500.0,1082500.0,470000.0,65000.0,360000.0,310000.0,260000.0,310000.0,310000.0,260000.0,360000.0,160000.0,160000.0,122500.0,85000.0,85000.0,160000.0,85000.0,160000.0,160000.0,65000.0,
Beverage Association of Tennessee,2687500.0,1455000.0,950000.0,275000.0,130000.0,110000.0,147500.0,185000.0,225000.0,225000.0,225000.0,225000.0,112500.0,0.0,75000.0,150000.0,167500.0,225000.0,225000.0,225000.0,275000.0,
University of Tennessee Medical Center,2562500.0,1540000.0,652500.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,172500.0,185000.0,185000.0,172500.0,185000.0,185000.0,160000.0,185000.0,172500.0,160000.0,160000.0,160000.0,
Tennessee Broadband Communications Council - Tennessee Fiber Optic Communities,2550000.0,1445000.0,602500.0,160000.0,85000.0,85000.0,85000.0,90000.0,160000.0,160000.0,330000.0,280000.0,260000.0,140000.0,160000.0,160000.0,122500.0,122500.0,160000.0,160000.0,160000.0,
Tennessee Chiropractic Association,2475000.0,1992500.0,715000.0,172500.0,45000.0,45000.0,77500.0,65000.0,85000.0,85000.0,85000.0,85000.0,85000.0,825000.0,85000.0,122500.0,160000.0,172500.0,185000.0,185000.0,172500.0,
Amazon,2442500.0,1590000.0,940000.0,210000.0,0.0,32500.0,202500.0,160000.0,160000.0,160000.0,85000.0,85000.0,85000.0,85000.0,160000.0,160000.0,160000.0,210000.0,260000.0,260000.0,210000.0,
Lifepoint Health,2425000.0,1560000.0,760000.0,280000.0,0.0,10000.0,65000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,280000.0,
Tennessee Organization of School Superintendents,2420000.0,2102500.0,840000.0,160000.0,20000.0,20000.0,20000.0,32500.0,20000.0,32500.0,115000.0,97500.0,272500.0,210000.0,260000.0,210000.0,310000.0,210000.0,210000.0,260000.0,160000.0,
Americans For Prosperity,2410000.0,1820000.0,1372500.0,505000.0,0.0,0.0,10000.0,32500.0,20000.0,15000.0,310000.0,202500.0,97500.0,85000.0,52500.0,135000.0,77500.0,65000.0,135000.0,667500.0,505000.0,
Tennessee Secondary School Athletic Association,2400000.0,1890000.0,940000.0,210000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,260000.0,260000.0,260000.0,260000.0,260000.0,210000.0,210000.0,
Comcast,2400000.0,1440000.0,390000.0,0.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,210000.0,260000.0,260000.0,260000.0,130000.0,0.0,0.0,
Lkq Corp,2382500.0,1895000.0,340000.0,85000.0,0.0,0.0,0.0,0.0,0.0,42500.0,172500.0,272500.0,260000.0,380000.0,500000.0,292500.0,122500.0,85000.0,85000.0,85000.0,85000.0,
Tennessee Retail Association,2375000.0,1490000.0,690000.0,210000.0,85000.0,85000.0,85000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,210000.0,
Tennessee Charter School Center,2350000.0,1390000.0,577500.0,160000.0,20000.0,0.0,122500.0,160000.0,172500.0,172500.0,172500.0,160000.0,160000.0,160000.0,122500.0,160000.0,210000.0,172500.0,122500.0,122500.0,160000.0,
Regional One Health,2325000.0,1440000.0,640000.0,160000.0,160000.0,122500.0,122500.0,122500.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,
Tennessee Rural Cooperative Communications Association,2287500.0,1565000.0,952500.0,272500.0,102500.0,45000.0,185000.0,160000.0,122500.0,85000.0,85000.0,85000.0,85000.0,85000.0,122500.0,160000.0,160000.0,160000.0,260000.0,260000.0,272500.0,
Tennessee County Highway officials Association,2250000.0,1350000.0,600000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,
BlueCross BlueShield of Tennessee,2227500.0,597500.0,210000.0,52500.0,522500.0,460000.0,460000.0,422500.0,477500.0,90000.0,90000.0,90000.0,90000.0,52500.0,102500.0,90000.0,52500.0,52500.0,52500.0,52500.0,52500.0,
