company_name,year,amount
Blue Owl Credit Advisors Llc,2024,32500.0
Blueoval Sk,2024,282500.0
Blues City Brewery,2011,10000.0
Blueserv,2024,30000.0
Blyncsy,2017,97500.0
"Bohan Agency, Inc.",2017,50000.0
Boldage Pace,2024,90000.0
Booknook,2023,32500.0
Botanical Education Alliance,2018,112500.0
Bowls Holdings Nashville Llc,2020,20000.0
"Boyd Sports, Llc",2025,90000.0
Braden Health Llc,2025,85000.0
"Bradford Health Partners, Llc",2023,22500.0
"Bradley Medical Center, Llc",2025,22500.0
Braeburn Pharmaceuticals,2018,210000.0
Brain Injury Assocation Of America,2025,10000.0
Brennan Center For Justice At Nyu School Of Law,2017,30000.0
Brevan Howard Us Llc,2016,60000.0
"Brewery Master Tenant, Llc",2017,32500.0
Bridges,2022,60000.0
"Brightbytes, Inc.",2016,42500.0
Brightspeed,2023,72500.0
Brightstar Franchising,2014,250000.0
Brightstar Global Solutions Corporation,2025,130000.0
"Brimstone Recreation, Llc",2017,32500.0
Brinc Drones Inc.,2023,52500.0
"Brinker International, Inc.",2011,162500.0
"Bristol Motor Speedway, Llc",2014,1137500.0
Broad River Landing Llc,2024,52500.0
Broadway Entertainment Association,2022,355000.0
Brthd Of Maintenance Of Way Employes Div.-Ibt,2012,40000.0
"Brushy Mountain Group, Llc",2014,22500.0
"Buddi Us, Llc",2024,132500.0
"Buddybet Tennessee, Llc",2022,65000.0
Build Asset Management,2025,32500.0
Build Tn Housing,2024,320000.0
"Built Technologies, Inc.",2023,55000.0
Burnham Rng,2025,42500.0
Burr & Forman Llp,2020,252500.0
Bush Brothers And Company,2024,95000.0
Businesses For Tennessee Prosperity,2013,202500.0
Buspatrol America Llc,2023,195000.0
Byhalia Pipeline Llc,2019,120000.0
C-Pace Alliance,2021,87500.0
C2 Strategic Communications,2025,45000.0
"Ca, Inc.",2012,317500.0
Cable South Media 3,2019,20000.0
"Caesars Enterprise Services, Llc",2019,52500.0
"Camelot Care Centers, Inc.",2011,52500.0
Campaign For Democracy Group,2024,240000.0
Campaign For Great Public Schools,2021,742500.0
"Campaign For School Equity Advocacy, Inc.",2017,10000.0
Campaign For The Fair Sentencing Of Youth,2016,70000.0
"Campbell Transportation Co., Inc.",2014,10000.0
Carahsoft Technology Corp,2022,182500.0
"Cardiac Solutions, Llc",2024,127500.0
"Cardpool, Inc.",2017,65000.0
"Cardtronics Usa, Inc.",2013,75000.0
Careington International Coroporation,2014,125000.0
"Carfax, Inc.",2014,315000.0
"Carmax Auto Superstores, Inc.",2016,77500.0
Carrier Corporation,2021,275000.0
Carson-Newman University,2013,22500.0
Carvana,2021,362500.0
Cast Iron Soil Pipe Institute,2024,105000.0
Catalis Holdco,2023,192500.0
Catalyst Strategic Government Affairs,2025,42500.0
Catapult Learning,2021,202500.0
"Catholic Memphis Urban Schools, Inc.",2016,75000.0
Cavnue Llc,2024,335000.0
Ccc Distribution,2024,10000.0
Cdm Smith,2019,90000.0
Cedar Creek Yacht Club,2022,52500.0
"Cedar Recovery Of Middle Tennessee, Llc",2023,55000.0
Celgene Corporation,2015,187500.0
Cemetery Association Of Tennessee,2022,195000.0
Cempa Community Care,2019,535000.0
Centene - Wellcare,2013,1870000.0
"Center For Employment Opportunities, Inc.",2018,225000.0
Center For Individual Freedom,2022,2147500.0
Center For Science In The Public Interest,2025,20000.0
Center For Worker Progress Action,2021,265000.0
"Center Hill Marina And Yacht Club, Llc",2022,20000.0
Centerstone Military Services,2016,245000.0
Central Auction House (Dba Central Bidding),2019,45000.0
Centrus Energy Corp.,2025,85000.0
Centurion,2012,1095000.0
Cerner Corporation,2015,315000.0
Cev Multimedia Ltd,2024,245000.0
"Cfkaa Holdings, Llc",2024,65000.0
Cg Of Tennessee Llc,2019,532500.0
"Cgi Technologies & Solutions, Inc.",2021,820000.0
"Chalkable, Inc.",2016,215000.0
Chargepoint,2022,40000.0
"Charles Blalock And Sons, Inc.",2023,362500.0
Charles Schwab & Co.,2022,20000.0
"Charter Communications Operating, Llc",2023,395000.0
Charter Schools Usa,2013,122500.0
"Chatt Flea-Farmer, Llc",2011,10000.0
"Chattanooga Endeavors, Inc",2019,32500.0
Chattanooga Metropolitan Airport Authority,2012,107500.0
"Chattanooga Professional Baseball, Llc",2021,425000.0
Checker Cab Company,2015,20000.0
Cheekwood Botanical Garden And Museum Of Art,2022,212500.0
Cherokee Resort,2019,42500.0
"Chevron U.S.A., Inc.",2018,212500.0
Chi Memorial Health Care System,2024,107500.0
Children'S Advocacy Centers Of Tennessee,2020,357500.0
Children'S Health Defense,2024,32500.0
Children'S Healthcare Is A Legal Duty,2016,32500.0
Chime Financial Inc.,2021,32500.0
Choctaw Resort Development Enterprise,2021,647500.0
Chord Specialty Dental Partners,2024,170000.0
Christian Family Medicine,2014,130000.0
"Christian Healthcare Ministries, Inc.",2023,107500.0
Church Street Health Managment,2011,30000.0
Cicero Action,2021,537500.0
Cicero Group,2018,92500.0
Cigna - Express Scripts,2020,2307500.0
Cincinnati Bell Extended Territories Llc(Altafiber Connected Services),2024,55000.0
"Ciox Health, Llc",2021,85000.0
"Ciox Health, Llc C/O Multistate Associates Llc",2023,22500.0
Cirrus Aircraft,2024,150000.0
"Cisco Systems, Inc.",2011,527500.0
