company_name,filing_period_raw,filing_period_display,end_year,lobbyist_compensation,lobbying_related_expenses,total
AAA,2021-01-01-2021-06-30,Jan–Jun 2021,2021,5000.0,5000.0,10000.0
AAA,2020-07-01-2020-12-31,Jul–Dec 2020,2020,5000.0,5000.0,10000.0
AAA,2020-01-01-2020-06-30,Jan–Jun 2020,2020,5000.0,5000.0,10000.0
AAA,2019-07-01-2019-12-31,Jul–Dec 2019,2019,5000.0,5000.0,10000.0
AAA,2019-01-01-2019-06-30,Jan–Jun 2019,2019,5000.0,5000.0,10000.0
AAA,2018-07-01-2018-12-31,Jul–Dec 2018,2018,5000.0,5000.0,10000.0
AAA,2018-01-01-2018-06-30,Jan–Jun 2018,2018,5000.0,5000.0,10000.0
AAA,2017-07-01-2017-12-31,Jul–Dec 2017,2017,75000.0,5000.0,80000.0
AAA,2017-01-01-2017-06-30,Jan–Jun 2017,2017,75000.0,5000.0,80000.0
AAA,2016-07-01-2016-12-31,Jul–Dec 2016,2016,75000.0,5000.0,80000.0
AAA,2016-01-01-2016-06-30,Jan–Jun 2016,2016,75000.0,5000.0,80000.0
AAA,2015-07-01-2015-12-31,Jul–Dec 2015,2015,75000.0,5000.0,80000.0
AAA,2015-01-01-2015-06-30,Jan–Jun 2015,2015,75000.0,5000.0,80000.0
AAA,2014-07-01-2014-12-31,Jul–Dec 2014,2014,75000.0,5000.0,80000.0
AAA,2014-01-01-2014-06-30,Jan–Jun 2014,2014,75000.0,5000.0,80000.0
AAA,2013-07-01-2013-12-31,Jul–Dec 2013,2013,75000.0,5000.0,80000.0
AAA,2013-01-01-2013-06-30,Jan–Jun 2013,2013,75000.0,5000.0,80000.0
AAA,2012-07-01-2012-12-31,Jul–Dec 2012,2012,17500.0,5000.0,22500.0
AAA,2012-07-01-2012-12-31,Jul–Dec 2012,2012,75000.0,5000.0,80000.0
AAA,2012-01-01-2012-06-30,Jan–Jun 2012,2012,37500.0,5000.0,42500.0
AAA,2012-01-01-2012-06-30,Jan–Jun 2012,2012,17500.0,5000.0,22500.0
AAA,2011-04-01-2011-12-31,Apr–Dec 2011,2011,37500.0,5000.0,42500.0
AAA,2011-04-01-2011-12-31,Apr–Dec 2011,2011,17500.0,5000.0,22500.0
AAA,2011-04-01-2011-09-30,Apr–Sep 2011,2011,5000.0,5000.0,10000.0
AAA,2010-10-01-2011-03-31,Oct–Mar 2011,2011,5000.0,5000.0,10000.0
AAA,2010-10-01-2011-03-31,Oct–Mar 2011,2011,17500.0,5000.0,22500.0
ACLU,2025-07-01-2025-12-31,Jul–Dec 2025,2025,75000.0,5000.0,80000.0
ACLU,2025-01-01-2025-06-30,Jan–Jun 2025,2025,125000.0,5000.0,130000.0
ACLU,2024-07-01-2024-12-31,Jul–Dec 2024,2024,75000.0,5000.0,80000.0
ACLU,2024-01-01-2024-06-30,Jan–Jun 2024,2024,125000.0,5000.0,130000.0
ACLU,2023-07-01-2023-12-31,Jul–Dec 2023,2023,75000.0,5000.0,80000.0
ACLU,2023-01-01-2023-06-30,Jan–Jun 2023,2023,75000.0,5000.0,80000.0
ACLU,2022-07-01-2022-12-31,Jul–Dec 2022,2022,75000.0,5000.0,80000.0
ACLU,2022-07-01-2022-12-31,Jul–Dec 2022,2022,5000.0,5000.0,10000.0
ACLU,2022-01-01-2022-06-30,Jan–Jun 2022,2022,75000.0,5000.0,80000.0
ACLU,2022-01-01-2022-06-30,Jan–Jun 2022,2022,5000.0,5000.0,10000.0
ACLU,2021-07-01-2021-12-31,Jul–Dec 2021,2021,37500.0,5000.0,42500.0
ACLU,2021-07-01-2021-12-31,Jul–Dec 2021,2021,5000.0,5000.0,10000.0
ACLU,2021-01-01-2021-06-30,Jan–Jun 2021,2021,37500.0,5000.0,42500.0
ACLU,2021-01-01-2021-06-30,Jan–Jun 2021,2021,5000.0,5000.0,10000.0
ACLU,2020-07-01-2020-12-31,Jul–Dec 2020,2020,17500.0,5000.0,22500.0
ACLU,2020-07-01-2020-12-31,Jul–Dec 2020,2020,5000.0,5000.0,10000.0
ACLU,2020-01-01-2020-06-30,Jan–Jun 2020,2020,17500.0,5000.0,22500.0
ACLU,2020-01-01-2020-06-30,Jan–Jun 2020,2020,5000.0,5000.0,10000.0
ACLU,2019-07-01-2019-12-31,Jul–Dec 2019,2019,17500.0,5000.0,22500.0
ACLU,2019-01-01-2019-06-30,Jan–Jun 2019,2019,17500.0,5000.0,22500.0
ACLU,2018-07-01-2018-12-31,Jul–Dec 2018,2018,17500.0,5000.0,22500.0
ACLU,2018-01-01-2018-06-30,Jan–Jun 2018,2018,17500.0,5000.0,22500.0
ACLU,2017-07-01-2017-12-31,Jul–Dec 2017,2017,5000.0,5000.0,10000.0
ACLU,2017-01-01-2017-06-30,Jan–Jun 2017,2017,5000.0,5000.0,10000.0
ACLU,2016-07-01-2016-12-31,Jul–Dec 2016,2016,5000.0,5000.0,10000.0
ACLU,2016-01-01-2016-06-30,Jan–Jun 2016,2016,5000.0,5000.0,10000.0
ACLU,2015-01-01-2015-06-30,Jan–Jun 2015,2015,5000.0,5000.0,10000.0
ACLU,2014-07-01-2014-12-31,Jul–Dec 2014,2014,5000.0,5000.0,10000.0
ACLU,2014-01-01-2014-06-30,Jan–Jun 2014,2014,5000.0,5000.0,10000.0
ACLU,2013-07-01-2013-12-31,Jul–Dec 2013,2013,5000.0,5000.0,10000.0
ACLU,2013-01-01-2013-06-30,Jan–Jun 2013,2013,5000.0,5000.0,10000.0
ACLU,2012-07-01-2012-12-31,Jul–Dec 2012,2012,5000.0,5000.0,10000.0
ACLU,2012-01-01-2012-06-30,Jan–Jun 2012,2012,5000.0,5000.0,10000.0
ACLU,2011-04-01-2011-12-31,Apr–Dec 2011,2011,5000.0,5000.0,10000.0
ACLU,2010-10-01-2011-03-31,Oct–Mar 2011,2011,5000.0,5000.0,10000.0
AIA Tennessee,2025-07-01-2025-12-31,Jul–Dec 2025,2025,37500.0,5000.0,42500.0
AIA Tennessee,2025-01-01-2025-06-30,Jan–Jun 2025,2025,37500.0,5000.0,42500.0
AIA Tennessee,2024-07-01-2024-12-31,Jul–Dec 2024,2024,37500.0,5000.0,42500.0
AIA Tennessee,2024-01-01-2024-06-30,Jan–Jun 2024,2024,75000.0,5000.0,80000.0
AIA Tennessee,2023-07-01-2023-12-31,Jul–Dec 2023,2023,37500.0,5000.0,42500.0
AIA Tennessee,2023-01-01-2023-06-30,Jan–Jun 2023,2023,75000.0,5000.0,80000.0
AIA Tennessee,2022-07-01-2022-12-31,Jul–Dec 2022,2022,37500.0,5000.0,42500.0
AIA Tennessee,2022-01-01-2022-06-30,Jan–Jun 2022,2022,75000.0,5000.0,80000.0
AIA Tennessee,2021-07-01-2021-12-31,Jul–Dec 2021,2021,37500.0,5000.0,42500.0
AIA Tennessee,2021-01-01-2021-06-30,Jan–Jun 2021,2021,37500.0,5000.0,42500.0
AIA Tennessee,2020-07-01-2020-12-31,Jul–Dec 2020,2020,37500.0,5000.0,42500.0
AIA Tennessee,2020-01-01-2020-06-30,Jan–Jun 2020,2020,37500.0,5000.0,42500.0
AIA Tennessee,2019-07-01-2019-12-31,Jul–Dec 2019,2019,37500.0,5000.0,42500.0
