entity_name,website,lob_total_15yr,lob_total_10yr,lob_total_5yr,lob_total_2025,has_lobbying,donor_type,cf_politician_reference,cf_total_15yr,cf_total_10yr,cf_total_5yr,cf_total_2025,has_cf,ie_politician_reference,ie_total_15yr,ie_total_10yr,ie_total_5yr,ie_total_2025,has_ie,grand_total_15yr,grand_total_10yr,grand_total_5yr,grand_total_2025,qualifies_15yr,qualifies_10yr,qualifies_5yr,qualifies_2025
Elevance Health - Wellpoint,,2992500.0,2002500.0,862500.0,160000.0,True,Company,0,386000.0,293250.0,71000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,3378500.0,2295750.0,933500.0,160000.0,True,True,True,True
Tennesseans For Student Success,,1625000.0,1412500.0,800000.0,160000.0,True,Company,0,446051.0,446051.0,446051.0,111000.0,True,0.0,1237496.82,1237496.82,1237496.82,0.0,True,3308547.82,3096047.82,2483547.82,271000.0,True,True,True,True
Beverage Association Of Tennessee,,2895000.0,2035000.0,1117500.0,275000.0,True,Company,0,386950.0,386950.0,215900.0,40500.0,True,0.0,0.0,0.0,0.0,0.0,False,3281950.0,2421950.0,1333400.0,315500.0,True,True,True,True
Tennessee Chiropractic Association,,2397500.0,2077500.0,875000.0,172500.0,True,Company,0,841384.0,539134.0,258500.0,58500.0,True,0.0,0.0,0.0,0.0,0.0,False,3238884.0,2616634.0,1133500.0,231000.0,True,True,True,True
Tennessee County Services Association,,3235000.0,2517500.0,1237500.0,300000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,3235000.0,2517500.0,1237500.0,300000.0,True,True,True,True
Americans For Prosperity,,2400000.0,2022500.0,1450000.0,505000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,805004.91,805004.91,779709.15,0.0,True,3205004.91,2827504.91,2229709.15,505000.0,True,True,True,True
Lifepoint Health,,2360000.0,1720000.0,920000.0,280000.0,True,Company,0,734700.0,597800.0,297200.0,78000.0,True,0.0,1017.0,1017.0,0.0,0.0,True,3095717.0,2318817.0,1217200.0,358000.0,True,True,True,True
Tennessee Cable & Broadband Association,,3092500.0,2517500.0,1615000.0,350000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,3092500.0,2517500.0,1615000.0,350000.0,True,True,True,True
Reynolds American,,1935000.0,1520000.0,800000.0,160000.0,True,Company,0,1054050.0,850000.0,501000.0,213250.0,True,0.0,0.0,0.0,0.0,0.0,False,2989050.0,2370000.0,1301000.0,373250.0,True,True,True,True
Tennessee Farm Bureau,,2980000.0,2080000.0,1095000.0,215000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2980000.0,2080000.0,1095000.0,215000.0,True,True,True,True
