spender_name,original_name,spender_politician_reference,total_total_since_2012,total_total_since_2017,total_total_since_2022,total_total_since_2025,support_total_since_2012,support_total_since_2017,support_total_since_2022,support_total_since_2025,oppose_total_since_2012,oppose_total_since_2017,oppose_total_since_2022,oppose_total_since_2025
East Tennessee Conservatives Pac,East Tennessee Conservatives Pac,,591201.96,591201.96,591201.96,0.0,591201.96,591201.96,591201.96,0.0,0.0,0.0,0.0,0.0
Tri Star Pac,Tri Star Pac,,580500.0,580500.0,0.0,0.0,580500.0,580500.0,0.0,0.0,0.0,0.0,0.0,0.0
Advance Tennessee,Advance Tennessee,,393579.98999999993,0.0,0.0,0.0,22783.89,0.0,0.0,0.0,370796.1,0.0,0.0,0.0
Our Tennessee Future Pac,Our Tennessee Future Pac,,317312.96,317312.96,317312.96,0.0,11783.36,11783.36,11783.36,0.0,305529.6,305529.6,305529.6,0.0
Tennessee Future Fund,Tennessee Future Fund,,314455.0,314455.0,0.0,0.0,314455.0,314455.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessean's For Quality Early Education,Tn Advocates For Early Learning,,312039.80999999994,312039.80999999994,164662.81000000003,0.0,312039.80999999994,312039.80999999994,164662.81000000003,0.0,0.0,0.0,0.0,0.0
"Stand For Children, Inc. (Ind. Exp. Comm.)","Stand For Children, Inc. (Ind. Exp. Comm.)",,299146.3,33787.08,3497.51,0.0,226702.51,33787.08,3497.51,0.0,72443.79,0.0,0.0,0.0
Real Tn Values Pac,Real Tn Values Pac,,243188.41999999998,243188.41999999998,70000.0,0.0,193249.24,193249.24,50000.0,0.0,49939.17999999999,49939.17999999999,20000.0,0.0
Tennessee Education Association,Tennessee Educ Assn Fund For Children & Public Edu,,241088.19,185705.53000000003,48010.350000000006,0.0,241088.19,185705.53000000003,48010.350000000006,0.0,0.0,0.0,0.0,0.0
Jack Johnson PAC,Jack - Pac,"Johnson, Jack",233229.78,233229.78,233229.78,0.0,233229.78,233229.78,233229.78,0.0,0.0,0.0,0.0,0.0
Glen Casada PAC,Cas-Pac,"Casada, Glen",231911.94,231911.94,0.0,0.0,228061.94,228061.94,0.0,0.0,3850.0,3850.0,0.0,0.0
Tirrc Votes,Tirrc Votes,,211851.38,211851.38,152732.19000000003,0.0,211823.18000000002,211823.18000000002,152732.19000000003,0.0,28.2,28.2,0.0,0.0
Rslc Pac,Rslc Pac,,209181.24,209181.24,209181.24,0.0,209181.24,209181.24,209181.24,0.0,0.0,0.0,0.0,0.0
Enough Is Enough Tn Pac,Enough Is Enough Tn Pac,,192921.64,192921.64,0.0,0.0,0.0,0.0,0.0,0.0,192921.64,192921.64,0.0,0.0
Make Liberty Win Tennessee,Make Liberty Win Tennessee,,185803.25999999995,185803.25999999995,149804.07999999996,0.0,169788.66,169788.66,133789.48,0.0,16014.6,16014.6,16014.6,0.0
East Tennessee Pac,East Tennessee Pac,,121297.14,121297.14,0.0,0.0,0.0,0.0,0.0,0.0,121297.14,121297.14,0.0,0.0
William Lamberth PAC,Lamberth Pac,"Lamberth, William",106008.66,106008.66,42228.7,0.0,106008.66,106008.66,42228.7,0.0,0.0,0.0,0.0,0.0
Sister District Project,Sister District Project,,100882.38999999998,100882.38999999998,100882.38999999998,0.0,100882.38999999998,100882.38999999998,100882.38999999998,0.0,0.0,0.0,0.0,0.0
Ron Ramsey PAC,Raampac,"Ramsey, Ron",94624.4,0.0,0.0,0.0,73919.0,0.0,0.0,0.0,20705.399999999998,0.0,0.0,0.0
Tennesseans 4 Ethics In Government,Tennesseans 4 Ethics In Government,,93217.0,0.0,0.0,0.0,45260.0,0.0,0.0,0.0,47957.0,0.0,0.0,0.0
The Equity Alliance Fund Pac,The Equity Alliance Fund Pac,,90972.17999999998,90972.17999999998,90972.17999999998,0.0,90972.17999999998,90972.17999999998,90972.17999999998,0.0,0.0,0.0,0.0,0.0
Tennessee State Employees Association,Tennessee Employees Action Movement,,88576.94,88126.94,9498.0,0.0,88576.94,88126.94,9498.0,0.0,0.0,0.0,0.0,0.0
House Speaker Cameron Sexton PAC,Cam Pac,"Sexton, Cameron",76225.46,76225.46,47045.85,0.0,76225.46,76225.46,47045.85,0.0,0.0,0.0,0.0,0.0
Tennessee Medical Association,Independent Medicine'S Pac-Tn,,72978.56999999999,41133.08,33383.759999999995,610.67,72978.56999999999,41133.08,33383.759999999995,610.67,0.0,0.0,0.0,0.0
