politician_key,display_name,party,city,account_type,current_elected,current_seat,running_in_2026
"Testerman, David",David Testerman (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,No
"Remus, Hendrell",Hendrell Remus (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Sontany, Janis Baird",Janis Baird Sontany (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Randolph, Ian L.",Ian L. Randolph (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Parr, Don",Don Parr (Republican of Pulaski),Republican,Pulaski,Campaign Account,No,,No
"Jowers, Danny C.",Danny C. Jowers (Republican of Kenton),Republican,Kenton,Campaign Account,No,,No
"Steward, Nick",Nick Steward (Republican of Brandywine),Republican,Brandywine,Campaign Account,No,,No
"Faulk, Mike",Mike Faulk (Republican of Church Hill),Republican,Church Hill,Campaign Account,No,,No
"Ray, Gary Lynn",Gary Lynn Ray (Republican of Chapmansboro),Republican,Chapmansboro,Campaign Account,No,,No
"Miller, Lawrence G.",Lawrence G. Miller (Democrat of Hixson),Democrat,Hixson,Campaign Account,No,,No
"Stewart, Eric",Eric Stewart (Democrat of Belvidere),Democrat,Belvidere,Campaign Account,No,,No
"Berke, Andrew",Andrew Berke (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,No
"Hale, James",James Hale (Democrat of Riverwatch),Democrat,Riverwatch,Campaign Account,No,,No
"Monroe, Travis",Travis Monroe (Republican of Lewisburg),Republican,Lewisburg,Campaign Account,No,,No
"Tipton, Anita",Anita Tipton (Democrat of South Pittsburg),Democrat,South Pittsburg,Campaign Account,No,,No
"Wamp, Zach",Zach Wamp (Republican of Chattanooga),Republican,Chattanooga,Campaign Account,No,,No
"Moore, Gary",Gary Moore (Democrat of Joelton),Democrat,Joelton,Campaign Account,No,,No
"Burks, Charlotte",Charlotte Burks (Democrat of Monterey),Democrat,Monterey,Campaign Account,No,,No
"Rowland, Donna",Donna Rowland (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,No,,No
