politician_key,display_name,party,city,account_type,current_elected,current_seat,running_in_2026
"Test, Test",Test Test (Independent of Test),Independent,Test,Campaign Account,No,,No
"Lee, Annabelle",Annabelle Lee (Independent of Madison),Independent,Madison,Campaign Account,No,,No
"Cardoza-Moore, Laurie",Laurie Cardoza-Moore (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Johnston, Jeff",Jeff Johnston (Independent of Memphis),Independent,Memphis,Campaign Account,No,,No
"Swann, Art",Art Swann (Republican of Alcoa),Republican,Alcoa,Campaign Account,No,,No
"Wolf, Houston",Houston Wolf (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Lewis, Clifford",Clifford Lewis (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Rich, Barrett",Barrett Rich (Republican of Somerville),Republican,Somerville,Campaign Account,No,,No
"Harris, Toniko S.",Toniko S. Harris (Democrat of Cordova),Democrat,Cordova,Campaign Account,No,,No
"Durham, Jeremy",Jeremy Durham (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Hardaway, G.A.",G.A. Hardaway (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,House of Representatives 93,No
"Halford, Curtis",Curtis Halford (Republican of Dyer),Republican,Dyer,Campaign Account,No,,No
"Ramsey, Ron",Ron Ramsey (Republican of Blountville),Republican,Blountville,Campaign Account,No,,No
"Ramsey, Robert (Bob)",Robert Ramsey (Bob),Republican,Maryville,Campaign Account,No,,No
"Martin, Jason",Jason Martin (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Frost, Dominique",Dominique Frost (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Cooper, Tanya L.",Tanya L. Cooper (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Blount, Rod",Rod Blount (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Bolton, Julian T.",Julian T. Bolton (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Kelsey, Brian",Brian Kelsey (Republican of Memphis),Republican,Memphis,Pac,No,,No
"Ravener, Bob",Bob Ravener (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Eskridge, Juliette",Juliette Eskridge (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Dewitt, Deanne",Deanne Dewitt (Republican of Gallatin),Republican,Gallatin,Campaign Account,No,,No
"Carniello, Brian",Brian Carniello (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Thompson, Dwayne",Dwayne Thompson (Democrat of Cordova),Democrat,Cordova,Campaign Account,No,,No
"Sizemore, Patrick",Patrick Sizemore (Independent of Carthage),Independent,Carthage,Campaign Account,No,,No
"Fancher, Gabriel",Gabriel Fancher (Republican of Rockvale),Republican,Rockvale,Campaign Account,No,,No
"Dotson,  Marquis",Marquis Dotson (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Womack Uselton, Cheryl",Cheryl Womack Uselton (Democrat of Morrison),Democrat,Morrison,Campaign Account,No,,No
"Maynard, Jerry",Jerry Maynard (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Cervantes, Steven",Steven Cervantes (Democrat of Franklin),Democrat,Franklin,Campaign Account,No,,No
"Robinson, Bobby",Bobby Robinson (Republican of Sparta),Republican,Sparta,Campaign Account,No,,No
"Vallejos, Tommy",Tommy Vallejos (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"Beck, Bill",Bill Beck (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Dawson, John",John Dawson (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"James, Krystle",Krystle James (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Testerman, Janet",Janet Testerman (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Craig, Kate",Kate Craig (Democrat of Johnson City),Democrat,Johnson City,Campaign Account,No,,No
"Cooper, Barbara",Barbara Cooper (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Waters, Patricia",Patricia Waters (Democrat of Athens),Democrat,Athens,Campaign Account,No,,No
"Gilmore, Brenda",Brenda Gilmore (Democrat of Goodlettsville),Democrat,Goodlettsville,Campaign Account,No,,No
"Curcio, Michael G.",Michael G. Curcio (Republican of Dickson),Republican,Dickson,Pac,No,,No
"Harris, Brian Matthew (Matt)",Brian Matthew Harris (Matt),Republican,Gallatin,Campaign Account,No,,No
"Bahou, A. J.",A. J. Bahou (Republican of Brentwood),Republican,Brentwood,Campaign Account,No,,No
"Tappan, Frederick D.",Frederick D. Tappan (Republican of Memphis),Republican,Memphis,Campaign Account,No,,No
"Toney, Brandon",Brandon Toney (Republican of Memphis),Republican,Memphis,Campaign Account,No,,No
"Fitterer, Matt",Matt Fitterer (Republican of Thompsons Station),Republican,Thompsons Station,Campaign Account,No,,No
"Dennis, Vance",Vance Dennis (Republican of Savannah),Republican,Savannah,Campaign Account,No,,No
"McLaughlin, Deanna",Deanna McLaughlin (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"Dodson, Jim",Jim Dodson (Democrat of Oak Ridge),Democrat,Oak Ridge,Campaign Account,No,,No
"Skelton, Mitchell",Mitchell Skelton (Republican of Waynesboro),Republican,Waynesboro,Campaign Account,No,,No
"Sawall, Nicholas",Nicholas Sawall (Independent of Drummonds),Independent,Drummonds,Campaign Account,No,,No
"Wildridge, Gordon D.",Gordon D. Wildridge (Republican of Lexington),Republican,Lexington,Campaign Account,No,,No
"White, Bill",Bill White (Republican of Mt. Pleasant),Republican,Mt. Pleasant,Campaign Account,No,,No
"Thompson, Sara",Sara Thompson (Democrat of Sevierville),Democrat,Sevierville,Campaign Account,No,,No
"Mills, Lee",Lee Mills (Republican of Arlington),Republican,Arlington,Campaign Account,No,,No
"Brewer, Rhonnie",Rhonnie Brewer (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Coleman, Erica Nicole",Erica Nicole Coleman (Democrat of Jackson),Democrat,Jackson,Campaign Account,No,,No
"Streetman, Ezekiel (Zeke)",Ezekiel Streetman (Zeke),Democrat,Knoxville,Campaign Account,No,,No
"Manuel, Bruce",Bruce Manuel (Democrat of Sewanee),Democrat,Sewanee,Campaign Account,No,,No
"Wallace, Ludye N.",Ludye N. Wallace (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Langan, Bryan",Bryan Langan (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,Yes
"Hall (Senate), Mark",Mark Hall (Senate),Republican,Cleveland,Campaign Account,No,,No
"Byrd, David",David Byrd (Republican of Jackson),Republican,Jackson,Campaign Account,No,,No
"Poczobut, David",David Poczobut (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Campbell, Scotty",Scotty Campbell (Republican of Mountain City),Republican,Mountain City,Campaign Account,No,,No
"Fowler, Kesa",Kesa Fowler (Democrat of Gallatin),Democrat,Gallatin,Campaign Account,No,,No
"Manor, Jameson Lee",Jameson Lee Manor (Democrat of Sppring Hill),Democrat,Sppring Hill,Campaign Account,No,,No
"Porterfield, Delishia",Delishia Porterfield (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Dockery, Rueben",Rueben Dockery (Independent of Nashville),Independent,Nashville,Campaign Account,No,,No
"Quillen, Anne F.",Anne F. Quillen (Democrat of Crossville),Democrat,Crossville,Campaign Account,No,,No
"Levine, William",William Levine (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Powell-Dennis, Ruby",Ruby Powell-Dennis (Democrat of Cordova),Democrat,Cordova,Campaign Account,No,,No
"Kaplan, Gregory B.",Gregory B. Kaplan (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Jefferson, Thomas",Thomas Jefferson (Democrat of Lexington),Democrat,Lexington,Campaign Account,No,,No
"Hart, Dia",Dia Hart (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Hernandez, Pime",Pime Hernandez (Republican of Antioch),Republican,Antioch,Campaign Account,No,,No
"Wilson, Lemichael D.",Lemichael D. Wilson (Independent of Memphis),Independent,Memphis,Campaign Account,No,,No
"Porter, Michael",Michael Porter (Independent of Memphis),Independent,Memphis,Campaign Account,No,,No
"Memula, Sanjeev",Sanjeev Memula (Democrat of Collierville),Democrat,Collierville,Campaign Account,No,,No
"Stout, Joseph (Joe) Winchester",Joseph (Joe) Winchester Stout,Independent,Newport,Campaign Account,No,,No
"Woodberry, Morgan",Morgan Woodberry (Democrat of Lavergne),Democrat,Lavergne,Campaign Account,No,,No
"Johnson, Brian",Brian Johnson (Republican of Bon Aqua),Republican,Bon Aqua,Campaign Account,No,,No
"Redden, Angela",Angela Redden (Republican of Dickson),Republican,Dickson,Campaign Account,No,,No
"Davis, Kisha",Kisha Davis (Democrat of Franklin),Democrat,Franklin,Campaign Account,No,,No
"Pesterfield Kirkham, Teresa",Teresa Pesterfield Kirkham (Republican of Harriman),Republican,Harriman,Campaign Account,No,,No
"Childs, Randy E.",Randy E. Childs (Republican of Kingston),Republican,Kingston,Campaign Account,No,,No
"Hayes, Bradley John",Bradley John Hayes (Republican of Deer Lodge),Republican,Deer Lodge,Campaign Account,No,,No
"Brooks, John Allen",John Allen Brooks (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,No
"Farmer-Tolbert, Barbara",Barbara Farmer-Tolbert (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Sloan, James Alexander",James Alexander Sloan (Republican of Thompsons Station),Republican,Thompsons Station,Campaign Account,No,,No
"Northcutt, Kelly",Kelly Northcutt (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Ford, Jeff",Jeff Ford (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Richardson, Will",Will Richardson (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Rich, Jason",Jason Rich (Republican of Collinwood),Republican,Collinwood,Campaign Account,No,,No
"Windle, John Mark",John Mark Windle (Democrat of Jamestown),Democrat,Jamestown,Campaign Account,No,,No
"Shelton, Donel",Donel Shelton (Republican of Washburn),Republican,Washburn,Campaign Account,No,,No
"Bowman, Keaton",Keaton Bowman (Republican of Kingston),Republican,Kingston,Campaign Account,No,,No
"Hall, Donnie",Donnie Hall (Republican of Harriman),Republican,Harriman,Campaign Account,No,,No
"Hughes, Angela M.",Angela M. Hughes (Democrat of Cornersville),Democrat,Cornersville,Campaign Account,No,,No
"Shekari, Melody",Melody Shekari (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,No
"Farless, Israel",Israel Farless (Republican of Chattanooga),Republican,Chattanooga,Campaign Account,No,,No
"Griffy, Kent",Kent Griffy (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"Hahn, Jan",Jan Hahn (Democrat of Lenoir City),Democrat,Lenoir City,Campaign Account,No,,No
"Weaver, Terri Lynn",Terri Lynn Weaver (Republican of Lancaster),Republican,Lancaster,Campaign Account,No,,No
"Segrest, Earle",Earle Segrest (Republican of Greenback),Republican,Greenback,Campaign Account,No,,No
"Griffey, Bruce I.",Bruce I. Griffey (Republican of Paris),Republican,Paris,Campaign Account,No,,No
"Gilliam, Jason",Jason Gilliam (Republican of Columbia),Republican,Columbia,Campaign Account,No,,No
"Wagner, Rex",Rex Wagner (Republican of Cleveland),Republican,Cleveland,Campaign Account,No,,No
"Crum, Jeffrey Young",Jeffrey Young Crum (Democrat of Lavergne),Democrat,Lavergne,Campaign Account,No,,No
"Price, Brandon",Brandon Price (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Kirkpatrick, Joe",Joe Kirkpatrick (Republican of Gallatin),Republican,Gallatin,Campaign Account,No,,No
"Daniel, Martin",Martin Daniel (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Rochat, Mary Ann",Mary Ann Rochat (Independent of Knoxville),Independent,Knoxville,Campaign Account,No,,No
"Dykes,  Roland A.",Roland A. Dykes (Democrat of Newport),Democrat,Newport,Campaign Account,No,,No
"Meeks, Monica",Monica Meeks (Independent of Adams),Independent,Adams,Campaign Account,No,,No
"Eby, Jeff",Jeff Eby (Republican of Dickson),Republican,Dickson,Campaign Account,No,,No
"Mannis, Eddie",Eddie Mannis (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Casada, Glen",Glen Casada (Republican of Franklin),Republican,Franklin,Pac,No,,No
"Stewart, Mike",Mike Stewart (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Bell, Mike",Mike Bell (Republican of Riceville),Republican,Riceville,Campaign Account,No,,No
"Jelks, Deangelo",Deangelo Jelks (Democrat of Ooltewah),Democrat,Ooltewah,Campaign Account,No,,No
"Parker, Anya",Anya Parker (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Sexton, Jerry",Jerry Sexton (Republican of Bean Station),Republican,Bean Station,Campaign Account,No,,No
"Hodges, Jason",Jason Hodges (Democrat of Clarksville),Democrat,Clarksville,Campaign Account,No,,No
"Sanderson, Bill",Bill Sanderson (Republican of Kenton),Republican,Kenton,Campaign Account,No,,No
"Crawford, William (Bill)",William Crawford (Bill),Republican,Athens,Campaign Account,No,,No
"Potts, Jason",Jason Potts (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Smith, Robin",Robin Smith (Republican of Hixson),Republican,Hixson,Campaign Account,No,,No
"Englen, Doug",Doug Englen (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"Robinson, Katrina",Katrina Robinson (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Ogles, Brandon",Brandon Ogles (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Hall (House), Mark",Mark Hall (House),Republican,Cleveland,Campaign Account,No,,No
"Carney, Curtis",Curtis Carney (Independent of Cottontown),Independent,Cottontown,Campaign Account,No,,No
"Turner, James",James Turner (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,No,,No
"Clark, Jay",Jay Clark (Democrat of Rockford),Democrat,Rockford,Campaign Account,No,,No
"Preptit, Jeff",Jeff Preptit (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Calfee, Kent",Kent Calfee (Republican of Kingston),Republican,Kingston,Campaign Account,No,,No
"Scruggs, Glenn",Glenn Scruggs (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,No
"Davis, Justin",Justin Davis (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Sottek, Tom",Tom Sottek (Independent of Lebanon),Independent,Lebanon,Campaign Account,No,,No
"George, Jane",Jane George (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Clayton, Terry",Terry Clayton (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Park, Matthew",Matthew Park (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Kraus, Joshua",Joshua Kraus (Republican of Dyersburg),Republican,Dyersburg,Campaign Account,No,,No
"Deberry,  John",John Deberry (Independent of Memphis),Independent,Memphis,Campaign Account,No,,No
"Abney, Carol Venea",Carol Venea Abney (Democrat of Celina),Democrat,Celina,Campaign Account,No,,No
"Younglove-Miner, Sheila",Sheila Younglove-Miner (Democrat of Mcminnville),Democrat,Mcminnville,Campaign Account,No,,No
"Madeira, Elizabeth",Elizabeth Madeira (Democrat of Franklin),Democrat,Franklin,Campaign Account,No,,No
"Kabir, Ovi",Ovi Kabir (Democrat of New York),Democrat,New York,Campaign Account,No,,No
"Sneed, Susan",Susan Sneed (Democrat of Maryville),Democrat,Maryville,Campaign Account,No,,No
"Tillis, Thomas R.",Thomas R. Tillis (Republican of Lewisburg),Republican,Lewisburg,Campaign Account,No,,No
"Brown, Sam",Sam Brown (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Deck, Robyn",Robyn Deck (Democrat of Crossville),Democrat,Crossville,Campaign Account,No,,No
"Welch, Garry",Garry Welch (Republican of Savannah),Republican,Savannah,Campaign Account,No,,No
"Possel, Patricia",Patricia Possel (Republican of Memphis),Republican,Memphis,Campaign Account,No,,No
"Love,  Arvil",Arvil Love (Independent of Kingsport),Independent,Kingsport,Campaign Account,No,,No
"Smith, Catrina",Catrina Smith (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Fiscus, Bradley",Bradley Fiscus (Independent of Franklin),Independent,Franklin,Campaign Account,No,,No
"Staples, Rick",Rick Staples (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Fankhauser, David G. E.",David G. E. Fankhauser (Independent of Tellico Plains),Independent,Tellico Plains,Campaign Account,No,,No
"Oster, Gina",Gina Oster (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Spann, Holly",Holly Spann (Democrat of Ashland City),Democrat,Ashland City,Campaign Account,No,,No
"Clemons, Chase",Chase Clemons (Democrat of Auburn),Democrat,Auburn,Campaign Account,No,,No
"McMahan, John",John McMahan (Republican of Union City),Republican,Union City,Campaign Account,No,,No
"Rowland, Elizabeth",Elizabeth Rowland (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Phillips, Mariah",Mariah Phillips (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Priestley, Keith",Keith Priestley (Republican of Mckenzie),Republican,Mckenzie,Campaign Account,No,,No
"Campbell, James G.",James G. Campbell (Democrat of Columbia),Democrat,Columbia,Campaign Account,No,,No
"Thomas, Brandon",Brandon Thomas (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Acuff, Robert (Bob)",Robert Acuff (Bob),Republican,Elizabthton,Campaign Account,No,,No
"Lejong-McCash, Delynn",Delynn Lejong-McCash (Democrat of Jefferson City),Democrat,Jefferson City,Campaign Account,No,,No
"Weise, Brandon",Brandon Weise (Republican of Bartlett),Republican,Bartlett,Campaign Account,No,,No
"Wooten-Lewis, Joann",Joann Wooten-Lewis (Democrat of Bartlett),Democrat,Bartlett,Campaign Account,No,,No
"Couch, Virginia",Virginia Couch (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Tinsley, Luke",Luke Tinsley (Republican of Hendersonville),Republican,Hendersonville,Campaign Account,No,,No
"Primer, Dominique",Dominique Primer (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Stockton, Clifford",Clifford Stockton (Democrat of Cordova),Democrat,Cordova,Campaign Account,No,,No
"Turner,  James C.",James C. Turner (Democrat of Antioch),Democrat,Antioch,Campaign Account,No,,No
"Dickerson, Steven",Steven Dickerson (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Washburn, Jeffery T.",Jeffery T. Washburn (Independent of Dresden),Independent,Dresden,Campaign Account,No,,No
"Hall, Mark",Mark Hall (Republican of Cleveland),Republican,Cleveland,Campaign Account,No,,No
"Hood, Casey",Casey Hood (Republican of Obion),Republican,Obion,Campaign Account,No,,No
"Bledsoe, Sam",Sam Bledsoe (Democrat of Manchester Ctr),Democrat,Manchester Ctr,Campaign Account,No,,No
"Tees, Donna",Donna Tees (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Jones, Troy B.",Troy B. Jones (Independent of Knoxville),Independent,Knoxville,Campaign Account,No,,No
"Canada, Diane Michel",Diane Michel Canada (Republican of Ashland City),Republican,Ashland City,Campaign Account,No,,No
"Udeaja, Joseph",Joseph Udeaja (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,No
"Foley, Jennifer",Jennifer Foley (Democrat of Spring Hill),Democrat,Spring Hill,Campaign Account,No,,No
"Templeton, Jai",Jai Templeton (Republican of Stantonville),Republican,Stantonville,Campaign Account,No,,No
"Farrell, Joan",Joan Farrell (Democrat of Hixson),Democrat,Hixson,Campaign Account,No,,No
"Mills, Greg",Greg Mills (Independent of Knoxville),Independent,Knoxville,Campaign Account,No,,No
"Stewart, Tre",Tre Stewart (Independent of Wartrace),Independent,Wartrace,Campaign Account,No,,No
"Bynum, Dennis",Dennis Bynum (Republican of Cookeville),Republican,Cookeville,Campaign Account,No,,No
"Miller-Watkins, Civil",Civil Miller-Watkins (Democrat of Rossville),Democrat,Rossville,Campaign Account,No,,No
"Keeling, Kari",Kari Keeling (Independent of Knoxville),Independent,Knoxville,Campaign Account,No,,No
"Sparks, Dean",Dean Sparks (Democrat of Spring City),Democrat,Spring City,Campaign Account,No,,No
"Van Huss, Micah",Micah Van Huss (Republican of Gray),Republican,Gray,Campaign Account,No,,No
"Carroll, Austin",Austin Carroll (Republican of Hohenwald),Republican,Hohenwald,Campaign Account,No,,No
"Mumpower, Jason",Jason Mumpower (Republican of Bristol),Republican,Bristol,Pac,No,,No
"Abernathy, Kimi",Kimi Abernathy (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Kerney, Neal",Neal Kerney (Republican of Kingsport),Republican,Kingsport,Campaign Account,No,,No
"Bounds, Patti",Patti Bounds (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Warrington, Christine",Christine Warrington (Republican of Humboldt),Republican,Humboldt,Campaign Account,No,,No
"Creasy, Allan",Allan Creasy (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Lowery, Jerry",Jerry Lowery (Republican of Sparta),Republican,Sparta,Campaign Account,No,,No
"Throckmorton, Scott",Scott Throckmorton (Republican of Collierville),Republican,Collierville,Campaign Account,No,,No
"Lapides, Bennett H.",Bennett H. Lapides (Democrat of Gatlinburg),Democrat,Gatlinburg,Campaign Account,No,,No
"Riddle, Amber",Amber Riddle (Democrat of Kingsport),Democrat,Kingsport,Campaign Account,No,,No
"Young, Patti Larimer",Patti Larimer Young (Democrat of Maryville),Democrat,Maryville,Campaign Account,No,,No
"Michel, Diane",Diane Michel (Independent of Telford),Independent,Telford,Campaign Account,No,,No
"Dunn, Bill",Bill Dunn (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Carter, Mike",Mike Carter (Republican of Chattanooga),Republican,Chattanooga,Campaign Account,No,,No
"Vaughn, Mary R.",Mary R. Vaughn (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Hill, Matthew",Matthew Hill (Republican of Blountville),Republican,Blountville,Campaign Account,No,,No
"Johnson, Eddie",Eddie Johnson (Democrat of Bon Aqua),Democrat,Bon Aqua,Campaign Account,No,,No
"Holt, Andrew",Andrew Holt (Republican of Dresden),Republican,Dresden,Campaign Account,No,,No
"Doster, Dennis",Dennis Doster (Republican of Dresden),Republican,Dresden,Campaign Account,No,,No
"Lingerfelt, Tim",Tim Lingerfelt (Republican of Erwin),Republican,Erwin,Campaign Account,No,,No
"Kirk, Bob",Bob Kirk (Republican of Dyersburg),Republican,Dyersburg,Campaign Account,No,,No
"MacKay, Greg",Greg MacKay (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Miller, Laura",Laura Miller (Democrat of Sweetwater),Democrat,Sweetwater,Campaign Account,No,,No
"Charles, Juanita",Juanita Charles (Democrat of Clarksville),Democrat,Clarksville,Campaign Account,No,,No
"Smith, Michael E.",Michael E. Smith (Democrat of Dyersburg),Democrat,Dyersburg,Campaign Account,No,,No
"Ali, Hana",Hana Ali (Democrat of Hendersonville),Democrat,Hendersonville,Campaign Account,No,,No
"Talley, Damien",Damien Talley (Democrat of Lavergne),Democrat,Lavergne,Campaign Account,No,,No
"Crone, Joseph",Joseph Crone (Republican of Eads),Republican,Eads,Campaign Account,No,,No
"Vannoy, Jennifer",Jennifer Vannoy (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Webb, Vanedda Prince",Vanedda Prince Webb (Republican of Dyersburg),Republican,Dyersburg,Campaign Account,No,,No
"Williams, Lynnette P.",Lynnette P. Williams (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Wilmoth, Joe B.",Joe B. Wilmoth (Independent of Cookeville),Independent,Cookeville,Campaign Account,No,,No
"Ketron, Bill",Bill Ketron (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,No,,No
"Price, Randall L.",Randall L. Price (Democrat of Hixson),Democrat,Hixson,Campaign Account,No,,No
"Gresham, Dolores",Dolores Gresham (Republican of Somerville),Republican,Somerville,Campaign Account,No,,No
"Smith, Terrence A.",Terrence A. Smith (Republican of Brentwood),Republican,Brentwood,Campaign Account,No,,No
"Burchett, Betty M.",Betty M. Burchett (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"McManus, Stephen",Stephen McManus (Republican of Collierville),Republican,Collierville,Campaign Account,No,,No
"Chism, George",George Chism (Republican of Collierville),Republican,Collierville,Campaign Account,No,,No
"Cutting, David L.",David L. Cutting (Democrat of Clarksville),Democrat,Clarksville,Campaign Account,No,,No
"Shafer, Heidi",Heidi Shafer (Republican of Memphis),Republican,Memphis,Campaign Account,No,,No
"Clark, Doyle",Doyle Clark (Independent of Clarksville),Independent,Clarksville,Campaign Account,No,,No
"Coleman, Eric R.",Eric R. Coleman (Democrat of Bartlett),Democrat,Bartlett,Campaign Account,No,,No
"Knight, Jason D.",Jason D. Knight (Republican of Clarksville),Republican,Clarksville,Campaign Account,No,,No
"Burke, Rebecca Ann",Rebecca Ann Burke (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Purington, Rebecca",Rebecca Purington (Democrat of Brentwood),Democrat,Brentwood,Campaign Account,No,,No
"Boyd, Randy",Randy Boyd (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Bush, Jay",Jay Bush (Republican of Jackson),Republican,Jackson,Campaign Account,No,,No
"Hartley, Brad",Brad Hartley (Democrat of Tellico Plains),Democrat,Tellico Plains,Campaign Account,No,,No
"Nelson, Edward",Edward Nelson (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Dean, Karl",Karl Dean (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Grimm, Kristen M",Kristen Grimm (Democrat of Franklin),Democrat,Franklin,Campaign Account,No,,No
"Moody, Brent",Brent Moody (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Ballinger, Jamie",Jamie Ballinger (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Pickert, Mallory",Mallory Pickert (Democrat of Cleveland),Democrat,Cleveland,Campaign Account,No,,No
"Jones, David",David Jones (Democrat of Chattanooga),Democrat,Chattanooga,Campaign Account,No,,No
"Mayor, Christopher",Christopher Mayor (Democrat of Smyrna),Democrat,Smyrna,Campaign Account,No,,No
"Dawson, Richard",Richard Dawson (Democrat of Clinton),Democrat,Clinton,Campaign Account,No,,No
"Harwell, Beth",Beth Harwell (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Trudell, Kate",Kate Trudell (Democrat of Knoxville),Democrat,Knoxville,Campaign Account,No,,No
"Southern, Kyle",Kyle Southern (Democrat of Antioch),Democrat,Antioch,Campaign Account,No,,No
"Smith, Eddie",Eddie Smith (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Carfi, Mary Alice",Mary Alice Carfi (Democrat of Lebanon),Democrat,Lebanon,Campaign Account,No,,No
"Davis, Marty",Marty Davis (Democrat of Shelbyville),Democrat,Shelbyville,Campaign Account,No,,No
"Black, Diane",Diane Black (Republican of Gallatin),Republican,Gallatin,Campaign Account,No,,No
"Baxter, James A.",James A. Baxter (Democrat of Jackson),Democrat,Jackson,Campaign Account,No,,No
"Eggers, Sr., Carl R.","Sr., Carl R. Eggers (Independent of Talbott)",Independent,Talbott,Campaign Account,No,,No
"Arganbright, Deane",Deane Arganbright (Democrat of Martin),Democrat,Martin,Campaign Account,No,,No
"Williamson, Savannah",Savannah Williamson (Democrat of Denmark),Democrat,Denmark,Campaign Account,No,,No
"Aikens, Tony R.",Tony R. Aikens (Republican of Lenoir City),Republican,Lenoir City,Campaign Account,No,,No
