company_name,filing_period_display,filing_period_raw,end_year,lobbyist_compensation,lobbying_related_expenses
AAA,Apr–Sep 2011,2011-04-01-2011-09-30,2011,"Less than $10,000","Less than $10,000"
AAA,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"Less than $10,000","Less than $10,000"
AAA,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$10,000 - $25,000","Less than $10,000"
AARP,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$25,000 - $50,000","Less than $10,000"
AARP,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$10,000 - $25,000","Less than $10,000"
AARP,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","Less than $10,000"
AARP,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$10,000 - $25,000","Less than $10,000"
AARP,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$10,000 - $25,000","Less than $10,000"
AARP,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"Less than $10,000","Less than $10,000"
AARP,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
AARP,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"Less than $10,000","Less than $10,000"
AARP,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
AARP,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
AARP,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$10,000 - $25,000","$25,000 - $50,000"
AARP,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$50,000 - $100,000","$25,000 - $50,000"
AARP,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$10,000 - $25,000","Less than $10,000"
AARP,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$150,000 - $200,000","Less than $10,000"
AARP,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$50,000 - $100,000","$10,000 - $25,000"
AARP,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$150,000 - $200,000","$10,000 - $25,000"
AARP,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$50,000 - $100,000","Less than $10,000"
AARP,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$100,000 - $150,000","Less than $10,000"
AARP,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"$50,000 - $100,000","Less than $10,000"
AARP,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"$100,000 - $150,000","Less than $10,000"
