company_name,filing_period_display,filing_period_raw,end_year,lobbyist_compensation,lobbying_related_expenses
SCI Tennessee Funeral Services,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$25,000 - $50,000","$10,000 - $25,000"
SCI Tennessee Funeral Services,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"$10,000 - $25,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"Less than $10,000","$10,000 - $25,000"
SCI Tennessee Funeral Services,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"$10,000 - $25,000","Less than $10,000"
SCI Tennessee Funeral Services,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"$25,000 - $50,000","Less than $10,000"
SCI Tennessee Funeral Services,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$25,000 - $50,000","Less than $10,000"
Safe Access Tennessee,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"Less than $10,000","Less than $10,000"
Safe Access Tennessee,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"Less than $10,000","Less than $10,000"
Safe Rx,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$10,000 - $25,000","Less than $10,000"
Safe Rx,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$10,000 - $25,000","Less than $10,000"
Safe Rx,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$10,000 - $25,000","Less than $10,000"
Safe Rx,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$10,000 - $25,000","Less than $10,000"
Safe Rx,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"Less than $10,000","Less than $10,000"
Safe Schools,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"Less than $10,000","Less than $10,000"
Safe Schools,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
Safe Schools,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
"Safelite Group, Inc.",Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$25,000 - $50,000","Less than $10,000"
Safety And Advocacy For Empowerment (Safe),Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
Safety And Advocacy For Empowerment (Safe),Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$25,000 - $50,000","Less than $10,000"
Safety And Advocacy For Empowerment (Safe),Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$10,000 - $25,000","Less than $10,000"
"Safire Technology Group, Inc.",Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$10,000 - $25,000","Less than $10,000"
Saint Thomas Health Services,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$10,000 - $25,000","Less than $10,000"
Saint Thomas Health Services,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$10,000 - $25,000","Less than $10,000"
Saint Thomas Health Services,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$50,000 - $100,000","Less than $10,000"
Saint Thomas Health Services,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$50,000 - $100,000","Less than $10,000"
Saint Thomas Health Services,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
Saint Thomas Health Services,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"Less than $10,000","Less than $10,000"
"Salesforce, Inc.",Jul–Dec 2025,2025-07-01-2025-12-31,2025,"Less than $10,000","Less than $10,000"
"Salesforce, Inc.",Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$10,000 - $25,000","Less than $10,000"
"Salesforce, Inc.",Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$25,000 - $50,000","Less than $10,000"
"Salesforce, Inc.",Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$25,000 - $50,000","Less than $10,000"
"Salesforce, Inc.",Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$25,000 - $50,000","Less than $10,000"
"Salesforce.Com, Inc.",Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$25,000 - $50,000","Less than $10,000"
"Salesforce.Com, Inc.",Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$10,000 - $25,000","Less than $10,000"
"Salesforce.Com, Inc.",Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$10,000 - $25,000","Less than $10,000"
"Salesforce.Com, Inc.",Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$10,000 - $25,000","Less than $10,000"
"Salesforce.Com, Inc.",Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
"Samsara, Inc",Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$25,000 - $50,000","Less than $10,000"
"Samsara, Inc",Jan–Jun 2025,2025-01-01-2025-06-30,2025,"Less than $10,000","Less than $10,000"
Sandoz Inc.,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"Less than $10,000","Less than $10,000"
Sandoz Inc.,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"Less than $10,000","Less than $10,000"
Sandoz Inc.,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","Less than $10,000"
Sandoz Inc.,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"Less than $10,000","Less than $10,000"
Sandoz Inc.,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
Sandoz Inc.,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"Less than $10,000","Less than $10,000"
Sandoz Inc.,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
Sandy Hook Promise Action Fund,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"Less than $10,000","Less than $10,000"
Sandy Hook Promise Action Fund,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"Less than $10,000","Less than $10,000"
Sandy Hook Promise Action Fund,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","Less than $10,000"
Sandy Hook Promise Action Fund,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$25,000 - $50,000","Less than $10,000"
Sandy Hook Promise Action Fund,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$25,000 - $50,000","Less than $10,000"
Sandy Hook Promise Action Fund,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$25,000 - $50,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$25,000 - $50,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$10,000 - $25,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$25,000 - $50,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$10,000 - $25,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$10,000 - $25,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$10,000 - $25,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$25,000 - $50,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$25,000 - $50,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$10,000 - $25,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"$10,000 - $25,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"$10,000 - $25,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"Less than $10,000","Less than $10,000"
Sanofi-Aventis,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"Less than $10,000","Less than $10,000"
"Sanorbix, Llc",Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$10,000 - $25,000","Less than $10,000"
"Sanorbix, Llc",Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
"Sanorbix, Llc",Jul–Dec 2020,2020-07-01-2020-12-31,2020,"Less than $10,000","Less than $10,000"
"Sanorbix, Llc",Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$10,000 - $25,000","Less than $10,000"
"Sanorbix, Llc",Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$10,000 - $25,000","Less than $10,000"
"Sanorbix, Llc",Jan–Jun 2019,2019-01-01-2019-06-30,2019,"Less than $10,000","Less than $10,000"
"Sanorbix, Llc",Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$10,000 - $25,000","Less than $10,000"
"Sanorbix, Llc",Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$10,000 - $25,000","Less than $10,000"
"Sanorbix, Llc",Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$10,000 - $25,000","Less than $10,000"
"Sanorbix, Llc",Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$10,000 - $25,000","Less than $10,000"
Sap Concur,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$25,000 - $50,000","Less than $10,000"
Sap Concur,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$25,000 - $50,000","Less than $10,000"
Satellite Broadcasting & Communications Association,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"Less than $10,000","Less than $10,000"
Satellite Broadcasting & Communications Association,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"Less than $10,000","Less than $10,000"
Satellite Broadcasting & Communications Association,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"Less than $10,000","Less than $10,000"
"Savannah Family Institute, Inc.",Jul–Dec 2016,2016-07-01-2016-12-31,2016,"Less than $10,000","Less than $10,000"
"Savannah Family Institute, Inc.",Jan–Jun 2016,2016-01-01-2016-06-30,2016,"Less than $10,000","Less than $10,000"
Save Tennessee History,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
Save Tennessee History,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"Less than $10,000","Less than $10,000"
Save Tennessee History,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
Save Tennessee History,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
Save The Children,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$25,000 - $50,000","Less than $10,000"
Save The Children,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$25,000 - $50,000","Less than $10,000"
Save The Children,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$25,000 - $50,000","$10,000 - $25,000"
Save The Children,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$10,000 - $25,000","$10,000 - $25,000"
Save The Children,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jan–Jun 2013,2013-01-01-2013-06-30,2013,"$10,000 - $25,000","Less than $10,000"
Save The Children,Jul–Dec 2012,2012-07-01-2012-12-31,2012,"$25,000 - $50,000","Less than $10,000"
Save The Children,Jan–Jun 2012,2012-01-01-2012-06-30,2012,"$10,000 - $25,000","Less than $10,000"
Save The Children,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"$10,000 - $25,000","$10,000 - $25,000"
Save The Children,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$10,000 - $25,000","Less than $10,000"
Save The Children Action Network,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"Less than $10,000","Less than $10,000"
Save The Children Action Network,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"Less than $10,000","$10,000 - $25,000"
Save The Children Action Network,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","$10,000 - $25,000"
Save The Children Action Network,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"Less than $10,000","$25,000 - $50,000"
Save The Children Action Network,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
Save The Children Action Network,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"Less than $10,000","$25,000 - $50,000"
Save The Children Action Network,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"Less than $10,000","Less than $10,000"
Save The Children Action Network,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"Less than $10,000","Less than $10,000"
Save The Children Action Network,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"Less than $10,000","Less than $10,000"
Save The Children Action Network,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"Less than $10,000","Less than $10,000"
Save The Children Action Network,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"Less than $10,000","Less than $10,000"
Save The Children Action Network,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"Less than $10,000","Less than $10,000"
Save The Children Action Network,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"Less than $10,000","Less than $10,000"
Save The Children Action Network,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"Less than $10,000","Less than $10,000"
Save The Duck,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"Less than $10,000","Less than $10,000"
Save The Duck,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
Save The Duck,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$50,000 - $100,000","Less than $10,000"
Sazerac Company,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jul–Dec 2019,2019-07-01-2019-12-31,2019,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jan–Jun 2019,2019-01-01-2019-06-30,2019,"$50,000 - $100,000","Less than $10,000"
Sazerac Company,Jul–Dec 2018,2018-07-01-2018-12-31,2018,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jan–Jun 2018,2018-01-01-2018-06-30,2018,"$25,000 - $50,000","Less than $10,000"
Sazerac Company,Jul–Dec 2017,2017-07-01-2017-12-31,2017,"$10,000 - $25,000","Less than $10,000"
Scantron Corporation,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"$25,000 - $50,000","Less than $10,000"
Scantron Corporation,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$25,000 - $50,000","Less than $10,000"
"Scepter, Inc.",Jul–Dec 2012,2012-07-01-2012-12-31,2012,"Less than $10,000","Less than $10,000"
"Scepter, Inc.",Jan–Jun 2012,2012-01-01-2012-06-30,2012,"Less than $10,000","Less than $10,000"
Schneider Electric,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"Less than $10,000","Less than $10,000"
Schneider Electric,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"$10,000 - $25,000","Less than $10,000"
Schneider Electric,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"$50,000 - $100,000","Less than $10,000"
Schneider Electric,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"$50,000 - $100,000","Less than $10,000"
Schneider Electric,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$50,000 - $100,000","Less than $10,000"
Schneider Electric,Jul–Dec 2022,2022-07-01-2022-12-31,2022,"$50,000 - $100,000","Less than $10,000"
Schneider Electric,Jan–Jun 2022,2022-01-01-2022-06-30,2022,"$10,000 - $25,000","Less than $10,000"
Schneider Electric,Jul–Dec 2021,2021-07-01-2021-12-31,2021,"$25,000 - $50,000","Less than $10,000"
Schneider Electric,Jan–Jun 2021,2021-01-01-2021-06-30,2021,"$25,000 - $50,000","Less than $10,000"
Schneider Electric,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"$25,000 - $50,000","Less than $10,000"
Schneider Electric,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"Less than $10,000","Less than $10,000"
Schneider Electric,Jan–Jun 2017,2017-01-01-2017-06-30,2017,"Less than $10,000","Less than $10,000"
Schneider Electric,Jul–Dec 2016,2016-07-01-2016-12-31,2016,"$10,000 - $25,000","Less than $10,000"
Schneider Electric,Jan–Jun 2016,2016-01-01-2016-06-30,2016,"Less than $10,000","Less than $10,000"
Scholarpath,Jul–Dec 2023,2023-07-01-2023-12-31,2023,"Less than $10,000","Less than $10,000"
Scholarpath,Jan–Jun 2023,2023-01-01-2023-06-30,2023,"$10,000 - $25,000","Less than $10,000"
Scholastic Inc.,Jul–Dec 2015,2015-07-01-2015-12-31,2015,"Less than $10,000","Less than $10,000"
Scholastic Inc.,Jan–Jun 2015,2015-01-01-2015-06-30,2015,"Less than $10,000","Less than $10,000"
Scholastic Inc.,Jul–Dec 2014,2014-07-01-2014-12-31,2014,"Less than $10,000","Less than $10,000"
Scholastic Inc.,Jan–Jun 2014,2014-01-01-2014-06-30,2014,"$50,000 - $100,000","Less than $10,000"
Scholastic Inc.,Jul–Dec 2013,2013-07-01-2013-12-31,2013,"$25,000 - $50,000","Less than $10,000"
Schoolseed Foundation,Jul–Dec 2020,2020-07-01-2020-12-31,2020,"Less than $10,000","Less than $10,000"
Schoolseed Foundation,Jan–Jun 2020,2020-01-01-2020-06-30,2020,"Less than $10,000","Less than $10,000"
Schoolwires,Apr–Dec 2011,2011-04-01-2011-12-31,2011,"$10,000 - $25,000","Less than $10,000"
Schoolwires,Oct–Mar 2011,2010-10-01-2011-03-31,2011,"$10,000 - $25,000","Less than $10,000"
Schroder Investment Management North America Inc,Jul–Dec 2025,2025-07-01-2025-12-31,2025,"Less than $10,000","Less than $10,000"
Schroder Investment Management North America Inc,Jan–Jun 2025,2025-01-01-2025-06-30,2025,"Less than $10,000","Less than $10,000"
Schroder Investment Management North America Inc,Jul–Dec 2024,2024-07-01-2024-12-31,2024,"Less than $10,000","Less than $10,000"
Schroder Investment Management North America Inc,Jan–Jun 2024,2024-01-01-2024-06-30,2024,"Less than $10,000","Less than $10,000"
