company_name,total_all,total_since_2016,total_since_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,PAC Address,Links
Tennessee Charter School Center,2242000.0,1474000.0,751500.0,114500.0,152000.0,164500.0,168500.0,168500.0,152000.0,152000.0,152000.0,114500.0,152000.0,202000.0,168500.0,114500.0,114500.0,152000.0,,
Regional One Health,2205000.0,1520000.0,760000.0,114500.0,114500.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,,
Tennessee Rural Cooperative Communications Association,2179500.0,1574000.0,1076500.0,185000.0,152000.0,114500.0,77000.0,77000.0,77000.0,77000.0,77000.0,114500.0,152000.0,152000.0,152000.0,252000.0,252000.0,268500.0,,
Center For Individual Freedom,2143500.0,2143500.0,2143500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176000.0,662500.0,837500.0,467500.0,,
Tennessee Cash Advance Association,2115500.0,1275000.0,399500.0,151000.0,168500.0,205000.0,147500.0,168500.0,168500.0,185000.0,185000.0,185000.0,152000.0,131000.0,114500.0,77000.0,77000.0,0.0,,https://ilobbysearch.app.tn.gov/ilobbysearch/viewEmployerDashboard.htm?employerId=390
Consumer Healthcare Products Association,2113000.0,575500.0,154000.0,412500.0,187500.0,425000.0,237500.0,275000.0,113500.0,77000.0,77000.0,77000.0,77000.0,77000.0,0.0,0.0,77000.0,0.0,,
BlueCross BlueShield of Tennessee,2063500.0,571500.0,202500.0,452000.0,414500.0,469500.0,78000.0,78000.0,78000.0,78000.0,40500.0,94500.0,78000.0,40500.0,40500.0,40500.0,40500.0,40500.0,,
Concentra Health Services,2056000.0,1482500.0,760000.0,78000.0,114500.0,77000.0,152000.0,152000.0,152000.0,152000.0,114500.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,,
Jack Daniel's/Brown-Forman,2046500.0,1570000.0,810000.0,114500.0,77000.0,77000.0,77000.0,131000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,202000.0,,
Tennessee Press Association,2041500.0,1183500.0,498500.0,114500.0,202000.0,202000.0,114500.0,225000.0,188500.0,152000.0,114500.0,152000.0,78000.0,114500.0,40500.0,114500.0,152000.0,77000.0,,
Coalition of Large School Systems,2036500.0,1302500.0,342500.0,126000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,302000.0,202000.0,152000.0,77000.0,114500.0,57000.0,57000.0,37000.0,,
Humana,2027500.0,1532500.0,760000.0,37000.0,77000.0,77000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,164500.0,152000.0,152000.0,152000.0,152000.0,152000.0,,
Community Health Systems,2017500.0,1220000.0,572500.0,302000.0,152000.0,114500.0,114500.0,114500.0,152000.0,152000.0,152000.0,114500.0,77000.0,264500.0,77000.0,77000.0,77000.0,77000.0,,
